	strain	fasta_depth	log_fasta_depth	taxa_hits	tp	fp	aligner	hit_rate	precision	recall
195	ecoli	9109	3	8846.0	8783.0	63.0	burst-lca	0.97112745636184	0.9928781370110784	0.9642112196728511
196	kpneumoniae	315638	5	64455.0	49283.0	15172.0	burst-lca	0.20420545054777942	0.7646109688930262	0.15613772739657455
197	ecoli	91918	4	88966.0	88324.0	642.0	burst-lca	0.9678844187210339	0.9927837600881235	0.9608999325485759
198	ecoli	91859	4	88665.0	87994.0	671.0	burst-lca	0.9652293188473638	0.9924321885749732	0.95792464538042
199	kpneumoniae	316	2	55.0	55.0	0.0	burst-lca	0.17405063291139242	1.0	0.17405063291139242
200	ecoli	9241	3	8957.0	8885.0	72.0	burst-lca	0.9692673953035386	0.9919615942838004	0.9614760307326047
201	saureus	282	2	179.0	179.0	0.0	burst-lca	0.6347517730496454	1.0	0.6347517730496454
202	kpneumoniae	31771	4	6338.0	4866.0	1472.0	burst-lca	0.19949010103553555	0.7677500788892395	0.15315854080765479
203	saureus	26657	4	17872.0	17833.0	39.0	burst-lca	0.6704430356004052	0.9978178155774395	0.6689800052519038
204	saureus	2651	3	1759.0	1753.0	6.0	burst-lca	0.6635231987929083	0.9965889710062535	0.6612599019238024
205	kpneumoniae	3138	3	524.0	524.0	0.0	burst-lca	0.16698534098151688	1.0	0.16698534098151688
206	saureus	26378	4	17801.0	17543.0	258.0	burst-lca	0.6748426719235727	0.9855064322229088	0.6650617939191751
207	ecoli	9206	3	8877.0	8817.0	60.0	burst-lca	0.9642624375407343	0.9932409597837107	0.9577449489463393
208	saureus	26621	4	17686.0	17641.0	45.0	burst-lca	0.6643627211599865	0.9974556146104263	0.6626723263588896
209	ecoli	923	2	886.0	886.0	0.0	burst-lca	0.9599133261105092	1.0	0.9599133261105092
210	ecoli	9111	3	8831.0	8766.0	65.0	burst-lca	0.9692679179014378	0.9926395651681577	0.9621336845571288
211	kpneumoniae	315865	5	64409.0	49289.0	15120.0	burst-lca	0.20391306412549665	0.7652501979537021	0.15604451268738226
212	ecoli	909	2	887.0	887.0	0.0	burst-lca	0.9757975797579758	1.0	0.9757975797579758
213	ecoli	9158	3	8838.0	8762.0	76.0	burst-lca	0.9650578728980127	0.9914007694048427	0.9567591177112906
214	kpneumoniae	3160251	6	645881.0	492935.0	152946.0	burst-lca	0.20437648781694873	0.7631978646221208	0.15597969908086415
215	kpneumoniae	3043	3	551.0	479.0	72.0	burst-lca	0.18107131120604666	0.8693284936479129	0.157410450213605
216	ecoli	91786	4	88714.0	88072.0	642.0	burst-lca	0.9665308434837557	0.992763261717429	0.9595363127274312
217	saureus	269	2	182.0	182.0	0.0	burst-lca	0.6765799256505576	1.0	0.6765799256505576
218	saureus	2551	3	1700.0	1700.0	0.0	burst-lca	0.6664053312426499	1.0	0.6664053312426499
219	kpneumoniae	315435	5	64380.0	49145.0	15235.0	burst-lca	0.2040991012411432	0.7633581857719789	0.15580071964113051
220	saureus	2655	3	1804.0	1804.0	0.0	burst-lca	0.6794726930320151	1.0	0.6794726930320151
221	ecoli	899	2	879.0	866.0	13.0	burst-lca	0.9777530589543938	0.9852104664391353	0.9632925472747497
222	kpneumoniae	31613	4	6458.0	4920.0	1538.0	burst-lca	0.204283048113118	0.7618457726850418	0.15563217663619397
223	saureus	266053	5	181586.0	177575.0	4011.0	burst-lca	0.6825181448809072	0.9779112927208045	0.6674422013658933
224	saureus	265094	5	180617.0	176504.0	4113.0	burst-lca	0.681331904909202	0.977228057159625	0.6658166537152859
225	ecoli	76	1	74.0	74.0	0.0	burst-lca	0.9736842105263158	1.0	0.9736842105263158
226	ecoli	86	1	85.0	85.0	0.0	burst-lca	0.9883720930232558	1.0	0.9883720930232558
227	saureus	266112	5	179914.0	177797.0	2117.0	burst-lca	0.6760837542087542	0.988233267005347	0.6681284571909571
228	saureus	26760	4	17908.0	17820.0	88.0	burst-lca	0.6692077727952167	0.995085995085995	0.6659192825112108
229	saureus	2656	3	1799.0	1799.0	0.0	burst-lca	0.6773343373493976	1.0	0.6773343373493976
230	kpneumoniae	31410	4	6637.0	5060.0	1577.0	burst-lca	0.21130213307863738	0.7623926472803978	0.16109519261381725
231	kpneumoniae	327	2	61.0	61.0	0.0	burst-lca	0.18654434250764526	1.0	0.18654434250764526
232	ecoli	92073	4	89051.0	88367.0	684.0	burst-lca	0.9671782172841116	0.9923190082087793	0.9597493293365047
233	kpneumoniae	3187	3	565.0	491.0	74.0	burst-lca	0.1772827110134923	0.8690265486725663	0.1540633824913712
234	ecoli	951	2	912.0	912.0	0.0	burst-lca	0.9589905362776026	1.0	0.9589905362776026
235	saureus	250	2	162.0	162.0	0.0	burst-lca	0.648	1.0	0.648
236	kpneumoniae	303	2	45.0	45.0	0.0	burst-lca	0.1485148514851485	1.0	0.1485148514851485
237	ecoli	918660	5	887571.0	881176.0	6395.0	burst-lca	0.9661583175494742	0.9927949426017749	0.9591970914157577
238	kpneumoniae	31553	4	6378.0	5008.0	1370.0	burst-lca	0.20213608848603937	0.7851991219818125	0.15871707920007605
239	saureus	266266	5	179641.0	177495.0	2146.0	burst-lca	0.6746674378253326	0.9880539520488084	0.6666078282619636
240	saureus	26555	4	17763.0	17721.0	42.0	burst-lca	0.6689135755978158	0.9976355345380847	0.6673319525513086
241	ecoli	84	1	82.0	82.0	0.0	burst-lca	0.9761904761904762	1.0	0.9761904761904762
242	saureus	301	2	209.0	209.0	0.0	burst-lca	0.6943521594684385	1.0	0.6943521594684385
243	kpneumoniae	31846	4	6599.0	5029.0	1570.0	burst-lca	0.20721597688877724	0.7620851644188513	0.1579162218174967
244	kpneumoniae	312	2	47.0	47.0	0.0	burst-lca	0.15064102564102563	1.0	0.15064102564102563
